lr-Adam,step,train_loss,epoch,val_loss_epoch,val_r2score_epoch,train_loss_epoch,train_r2score_epoch
0.001,0,,,,,,
,49,2.5465359687805176,0,,,,
,99,2.8049888610839844,0,,,,
,149,2.19977068901062,0,,,,
,199,1.796471357345581,0,,,,
,249,2.18412446975708,0,,,,
,299,1.9395626783370972,0,,,,
,349,1.6529874801635742,0,,,,
,399,1.860980749130249,0,,,,
,449,2.06068754196167,0,,,,
,456,,0,1.613551378250122,0.4096062183380127,,
,456,,0,,,2.3354508876800537,0.16284936666488647
0.001,457,,,,,,
,499,1.585686206817627,1,,,,
,549,1.564155101776123,1,,,,
,599,1.7982538938522339,1,,,,
,649,1.5978506803512573,1,,,,
,699,1.7302764654159546,1,,,,
,749,1.236891508102417,1,,,,
,799,1.1806193590164185,1,,,,
,849,1.0125422477722168,1,,,,
,899,1.4956741333007812,1,,,,
,913,,1,1.2485265731811523,0.5431677103042603,,
,913,,1,,,1.454265832901001,0.4786704182624817
0.001,914,,,,,,
,949,1.4604976177215576,2,,,,
,999,1.3521647453308105,2,,,,
,1049,1.1453388929367065,2,,,,
,1099,1.1637294292449951,2,,,,
,1149,1.2947591543197632,2,,,,
,1199,1.024780511856079,2,,,,
,1249,1.0856163501739502,2,,,,
,1299,1.1854759454727173,2,,,,
,1349,0.9535073041915894,2,,,,
,1370,,2,1.132046103477478,0.5857876539230347,,
,1370,,2,,,1.2096986770629883,0.5663563013076782
0.001,1371,,,,,,
,1399,0.7779895663261414,3,,,,
,1449,1.1395049095153809,3,,,,
,1499,1.133697748184204,3,,,,
,1549,0.9492083787918091,3,,,,
,1599,0.9131646752357483,3,,,,
,1649,1.123814344406128,3,,,,
,1699,1.0513588190078735,3,,,,
,1749,0.9756532907485962,3,,,,
,1799,1.3452718257904053,3,,,,
,1827,,3,1.0253866910934448,0.624813973903656,,
,1827,,3,,,1.1044363975524902,0.6041057109832764
0.001,1828,,,,,,
,1849,1.031943917274475,4,,,,
,1899,1.0507320165634155,4,,,,
,1949,1.193657636642456,4,,,,
,1999,1.1621286869049072,4,,,,
,2049,0.8894657492637634,4,,,,
,2099,0.8717750310897827,4,,,,
,2149,0.9516031742095947,4,,,,
,2199,1.0603184700012207,4,,,,
,2249,1.0135276317596436,4,,,,
,2284,,4,0.939486026763916,0.6562447547912598,,
,2284,,4,,,1.0345393419265747,0.6291555166244507
0.001,2285,,,,,,
,2299,0.8838661909103394,5,,,,
,2349,0.9177151322364807,5,,,,
,2399,0.9784872531890869,5,,,,
,2449,1.0010788440704346,5,,,,
,2499,0.9591963291168213,5,,,,
,2549,0.9364036321640015,5,,,,
,2599,0.9583007097244263,5,,,,
,2649,1.0243325233459473,5,,,,
,2699,0.9116299152374268,5,,,,
